91061.11.peg.14	CP015350.1_cds_ANS47782.1_2275_1	95.827	647	647	678	27	0	1	647	31	677	0.0	1262
91061.11.peg.15	CP015350.1_cds_ANS47781.1_2274_1	98.148	162	162	163	3	0	1	162	1	162	1.26e-120	334
91061.11.peg.16	CP015350.1_cds_ANS47780.1_2273_1	98.742	318	318	319	4	0	1	318	1	318	0.0	660
91061.11.peg.17	CP015350.1_cds_ANS47779.1_2272_1	84.742	485	485	486	74	0	1	485	1	485	0.0	880
91061.11.peg.19	CP015350.1_cds_ANS47775.1_2268_1	85.882	170	308	174	23	1	1	170	1	169	2.09e-103	297
91061.11.peg.20	CP015350.1_cds_ANS47774.1_2267_1	89.202	213	214	214	23	0	1	213	1	213	6.91e-145	400
91061.11.peg.21	CP015350.1_cds_ANS47773.1_2266_1	95.897	195	195	196	8	0	1	195	1	195	5.12e-145	399
91061.11.peg.22	CP015350.1_cds_ANS47772.1_2265_1	77.694	399	399	405	89	0	1	399	1	399	0.0	598
91061.11.peg.23	CP015350.1_cds_ANS47771.1_2264_1	89.407	236	236	237	25	0	1	236	1	236	2.70e-162	446
91061.11.peg.24	CP015350.1_cds_ANS47769.1_2262_1	87.356	174	175	176	22	0	1	174	1	174	8.97e-118	328
91061.11.peg.25	CP015350.1_cds_ANS47766.1_2259_1	96.575	146	146	163	5	0	1	146	17	162	2.54e-103	290
91061.11.peg.26	CP015350.1_cds_ANS47765.1_2258_1	92.357	157	157	158	12	0	1	157	1	157	5.34e-107	300
91061.11.peg.27	CP015350.1_cds_ANS47764.1_2257_1	87.773	229	232	231	28	0	1	229	1	229	1.31e-147	408
91061.11.peg.28	CP015350.1_cds_ANS47763.1_2256_1	86.735	392	392	401	52	0	1	392	9	400	0.0	694
91061.11.peg.29	CP015350.1_cds_ANS47762.1_2255_1	94.635	466	466	480	25	0	1	466	14	479	0.0	857
91061.11.peg.31	CP015350.1_cds_ANS47761.1_2254_1	78.182	220	225	221	48	0	1	220	1	220	1.72e-129	362
91061.11.peg.32	CP015350.1_cds_ANS47760.1_2253_1	90.566	265	265	266	25	0	1	265	1	265	1.78e-175	481
91061.11.peg.33	CP015350.1_cds_ANS47759.1_2252_1	83.246	191	191	192	32	0	1	191	1	191	1.39e-121	339
91061.11.peg.34	CP015350.1_cds_ANS47758.1_2251_1	86.207	290	304	292	40	0	14	303	1	290	0.0	523
91061.11.peg.35	CP015350.1_cds_ANS47757.1_2250_1	97.085	446	446	447	13	0	1	446	1	446	0.0	845
91061.11.peg.3	CP015350.1_cds_ANS47792.1_2285_1	92.258	155	155	154	10	1	1	155	1	153	5.60e-98	276
91061.11.peg.4	CP015350.1_cds_ANS47791.1_2284_1	94.359	195	195	196	11	0	1	195	1	195	7.57e-141	388
91061.11.peg.45	CP015350.1_cds_ANS46171.1_664_1	35.065	77	179	290	44	3	47	120	188	261	7.87e-06	42.7
91061.11.peg.47	CP015350.1_cds_ANS45973.1_466_1	32.000	175	411	419	101	7	237	403	248	412	9.51e-15	73.2
91061.11.peg.48	CP015350.1_cds_ANS51284.1_5777_1	30.078	256	260	452	153	9	8	260	7	239	2.14e-19	84.7
91061.11.peg.50	CP015350.1_cds_ANS50403.1_4896_1	31.515	165	458	193	93	3	6	157	26	183	5.35e-12	62.4
91061.11.peg.51	CP015350.1_cds_ANS46982.1_1475_1	30.935	139	145	140	87	3	1	139	1	130	3.82e-19	75.9
91061.11.peg.5	CP015350.1_cds_ANS47790.1_2283_1	87.037	324	324	325	42	0	1	324	1	324	0.0	591
91061.11.peg.1	CP015350.1_cds_ANS47794.1_2287_1	84.034	119	119	120	19	0	1	119	1	119	3.13e-68	198
91061.11.peg.54	CP015350.1_cds_ANS50403.1_4896_1	34.444	90	90	193	59	0	1	90	1	90	6.11e-13	58.9
91061.11.peg.55	CP015350.1_cds_ANS49656.1_4149_1	32.510	243	1295	794	142	11	447	677	469	701	8.66e-26	112
91061.11.peg.59	CP015350.1_cds_ANS47756.1_2249_1	93.056	432	432	433	30	0	1	432	1	432	0.0	835
91061.11.peg.6	CP015350.1_cds_ANS47789.1_2282_1	93.571	280	280	288	18	0	1	280	8	287	0.0	537
91061.11.peg.60	CP015350.1_cds_ANS47754.1_2247_1	84.277	159	159	160	25	0	1	159	1	159	4.51e-100	282
91061.11.peg.61	CP015350.1_cds_ANS47753.1_2246_1	93.638	503	503	504	32	0	1	503	1	503	0.0	979
91061.11.peg.62	CP015350.1_cds_ANS47752.1_2245_1	91.237	194	194	195	17	0	1	194	1	194	2.26e-135	374
91061.11.peg.63	CP015350.1_cds_ANS47751.1_2244_1	85.174	344	344	362	51	0	1	344	18	361	0.0	558
91061.11.peg.64	CP015350.1_cds_ANS47750.1_2243_1	96.321	1033	1033	1034	38	0	1	1033	1	1033	0.0	2075
91061.11.peg.65	CP015350.1_cds_ANS47748.1_2241_1	78.786	1400	1400	1401	297	0	1	1400	1	1400	0.0	2260
91061.11.peg.66	CP015350.1_cds_ANS47747.1_2240_1	80.347	173	175	293	34	0	1	173	118	290	8.13e-105	300
91061.11.peg.69	CP015350.1_cds_ANS47746.1_2239_1	93.594	562	562	563	36	0	1	562	1	562	0.0	1088
91061.11.peg.8	CP015350.1_cds_ANS47787.1_2280_1	95.547	247	247	251	10	1	1	247	5	250	9.28e-163	448
91061.11.peg.70	CP015350.1_cds_ANS47745.1_2238_1	93.411	258	258	259	17	0	1	258	1	258	0.0	507
91061.11.peg.71	CP015350.1_cds_ANS47744.1_2237_1	98.611	144	144	145	2	0	1	144	1	144	3.18e-106	296
91061.11.peg.72	CP015350.1_cds_ANS47743.1_2236_1	92.913	127	127	128	9	0	1	127	1	127	2.63e-78	224
91061.11.peg.73	CP015350.1_cds_ANS47742.1_2235_1	96.953	361	361	376	11	0	1	361	15	375	0.0	712
91061.11.peg.74	CP015350.1_cds_ANS48333.1_2826_1	24.118	340	377	388	235	9	4	323	12	348	1.14e-15	75.5
91061.11.peg.75	CP015350.1_cds_ANS46436.1_929_1	39.286	56	196	193	34	0	11	66	5	60	1.11e-09	53.1
91061.11.peg.76	CP015350.1_cds_ANS47740.1_2233_1	92.727	110	110	112	8	0	1	110	1	110	4.56e-75	215
91061.11.peg.77	CP015350.1_cds_ANS47739.1_2232_1	85.714	84	84	85	12	0	1	84	1	84	6.00e-49	147
91061.11.peg.78	CP015350.1_cds_ANS47738.1_2231_1	92.181	243	243	244	19	0	1	243	1	243	2.85e-157	434
91061.11.peg.79	CP015350.1_cds_ANS47737.1_2230_1	95.563	631	631	632	28	0	1	631	1	631	0.0	1208
91061.11.peg.9	CP015350.1_cds_ANS47786.1_2279_1	98.113	53	59	62	1	0	1	53	1	53	1.15e-31	102
91061.11.peg.80	CP015350.1_cds_ANS47736.1_2229_1	100.000	70	70	216	0	0	1	70	146	215	1.99e-49	152
91061.11.peg.10	CP015350.1_cds_ANS47785.1_2278_1	91.026	78	138	219	7	0	1	78	1	78	7.67e-44	141
91061.11.peg.11	CP015350.1_cds_ANS47785.1_2278_1	97.260	73	73	219	2	0	1	73	146	218	3.27e-46	144
91061.11.peg.12	CP015350.1_cds_ANS47784.1_2277_1	91.213	239	239	240	21	0	1	239	1	239	8.96e-168	460
